                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 0.9598,                0.66992,                 1.0775,                0.78181,                0.66524,                0.71008,                0.32674,                 2.0699,                 1.1249,                 2.0936,               0.005875,               0.005875,               0.005875
                    127,                0.96876,                0.66706,                 1.0794,                0.78374,                0.65665,                 0.7105,                0.34052,                 1.9687,                  1.063,                  1.956,               0.005842,               0.005842,               0.005842
                    128,                0.98115,                0.68244,                 1.0743,                0.78613,                0.69414,                0.71649,                0.34328,                 1.9656,                 1.1155,                 1.9367,               0.005809,               0.005809,               0.005809
                    129,                0.95657,                0.66644,                 1.0653,                0.78592,                0.67382,                0.70854,                0.33563,                 1.9898,                 1.0842,                 1.9328,               0.005776,               0.005776,               0.005776
                    130,                0.95863,                0.66967,                 1.0685,                0.74318,                0.72033,                0.74619,                0.33404,                 2.0241,                 1.0957,                  1.993,               0.005743,               0.005743,               0.005743
                    131,                0.96091,                0.66814,                 1.0694,                0.75378,                0.70952,                 0.7453,                0.35619,                 2.0008,                 1.0521,                 1.9493,                0.00571,                0.00571,                0.00571
                    132,                0.97389,                 0.6746,                  1.076,                0.79068,                0.68089,                0.73208,                0.33419,                 2.0455,                 1.1333,                 1.9977,               0.005677,               0.005677,               0.005677
                    133,                0.94722,                0.66039,                 1.0675,                0.75913,                0.69099,                0.72098,                 0.3363,                 2.0062,                 1.1438,                 1.9646,               0.005644,               0.005644,               0.005644
                    134,                0.96862,                0.67254,                 1.0753,                0.74866,                0.69957,                0.71561,                0.32694,                 2.0567,                 1.1296,                 2.0322,               0.005611,               0.005611,               0.005611
                    135,                0.94558,                0.67733,                 1.0755,                0.74795,                0.71245,                0.70821,                0.33408,                 1.9786,                 1.1096,                 1.9629,               0.005578,               0.005578,               0.005578
                    136,                0.89866,                0.64118,                  1.037,                0.76405,                0.69528,                0.74474,                0.35502,                 1.9659,                 1.0707,                 1.9514,               0.005545,               0.005545,               0.005545
                    137,                0.91755,                0.65059,                 1.0465,                0.74943,                 0.7317,                0.75993,                 0.3607,                 1.9737,                 1.0728,                  1.948,               0.005512,               0.005512,               0.005512
                    138,                0.92759,                0.64291,                 1.0509,                0.81758,                0.66094,                0.73511,                0.35097,                 2.0157,                 1.1059,                 2.0126,               0.005479,               0.005479,               0.005479
                    139,                0.91794,                0.64189,                 1.0456,                0.72588,                0.71674,                0.71557,                0.34222,                 2.0144,                 1.1292,                 2.0793,               0.005446,               0.005446,               0.005446
                    140,                0.92409,                0.65659,                 1.0527,                0.74528,                 0.6824,                0.71689,                0.34609,                 1.9947,                 1.1077,                 2.0658,               0.005413,               0.005413,               0.005413
                    141,                 0.8975,                0.64846,                 1.0405,                0.73741,                0.70815,                0.74034,                0.33628,                 2.0007,                 1.0748,                 2.0154,                0.00538,                0.00538,                0.00538
                    142,                0.89694,                0.64045,                 1.0377,                0.78445,                0.68725,                0.71633,                0.33979,                 1.9823,                 1.1147,                 2.0247,               0.005347,               0.005347,               0.005347
                    143,                0.89464,                0.63158,                 1.0397,                0.79548,                0.68443,                0.73994,                0.34993,                 2.0077,                 1.0419,                 2.0238,               0.005314,               0.005314,               0.005314
                    144,                0.90465,                0.62464,                  1.034,                0.74786,                0.67467,                0.70898,                0.33374,                 2.0054,                 1.1226,                 2.0124,               0.005281,               0.005281,               0.005281
                    145,                0.88323,                0.61758,                 1.0284,                0.70474,                0.70683,                0.71287,                0.34123,                 1.9964,                 1.1427,                 2.0067,               0.005248,               0.005248,               0.005248
